City Pair,Passenger Total,Year,Month_num,YYYY-MM
LAUNCESTON-MELBOURNE,38629,2000,9,2000-9
LAUNCESTON-SYDNEY,6026,2000,9,2000-9
MELBOURNE-BURNIE,7877,2000,9,2000-9
MELBOURNE-GOLD COAST,51215,2000,9,2000-9
MELBOURNE-MILDURA,9429,2000,9,2000-9
MELBOURNE-NEWCASTLE,4897,2000,9,2000-9
MELBOURNE-PERTH,87770,2000,9,2000-9
MELBOURNE-SYDNEY,569803,2000,9,2000-9
PERTH-PORT HEDLAND,7968,2000,9,2000-9
PERTH-SYDNEY,94514,2000,9,2000-9
SUNSHINE COAST-MELBOURNE,3541,2000,9,2000-9
SUNSHINE COAST-SYDNEY,9640,2000,9,2000-9
SYDNEY-TOWNSVILLE,5,2000,9,2000-9
SYDNEY-WAGGA WAGGA,8728,2000,9,2000-9
ADELAIDE-ALICE SPRINGS,13636,2000,10,2000-10
ADELAIDE-BRISBANE,19756,2000,10,2000-10
ADELAIDE-CANBERRA,9755,2000,10,2000-10
ADELAIDE-DARWIN,12735,2000,10,2000-10
ADELAIDE-MELBOURNE,123531,2000,10,2000-10
ADELAIDE-PERTH,36708,2000,10,2000-10
ADELAIDE-PORT LINCOLN,8175,2000,10,2000-10
ADELAIDE-SYDNEY,104371,2000,10,2000-10
ALBURY-SYDNEY,10926,2000,10,2000-10
ALICE SPRINGS-DARWIN,15529,2000,10,2000-10
ALICE SPRINGS-SYDNEY,13822,2000,10,2000-10
BALLINA-SYDNEY,7947,2000,10,2000-10
BRISBANE-CAIRNS,86587,2000,10,2000-10
BRISBANE-CANBERRA,23597,2000,10,2000-10
BRISBANE-DARWIN,14918,2000,10,2000-10
BRISBANE-HAMILTON ISLAND,12404,2000,10,2000-10
BRISBANE-MACKAY,17639,2000,10,2000-10
BRISBANE-MELBOURNE,196747,2000,10,2000-10
BRISBANE-NEWCASTLE,5766,2000,10,2000-10
BRISBANE-PERTH,6912,2000,10,2000-10
BRISBANE-PROSERPINE,7158,2000,10,2000-10
